Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,173.5,1.968934444,166.9528354,0.047767192,151.2362566,153.2934582,156.4098665,161.4871507,166.9528354,172.2503918,176.8868489,179.6060885,181.3508837
1,174.5,2.016781776,167.4641466,0.047506783,151.7521046,153.8127163,156.9318906,162.0077536,167.4641466,172.7454817,177.3622413,180.0676464,181.8027041
1,175.5,2.060109658,167.9570814,0.047241456,152.2574887,154.3200013,157.4399327,162.5118031,167.9570814,173.2213335,177.8183499,180.5101936,182.2358034
1,176.5,2.098765817,168.4313175,0.04697265,152.7517151,154.814651,157.9333914,162.9988222,168.4313175,173.6777819,178.2551431,180.9337725,182.6502694
1,177.5,2.132642948,168.8866644,0.046701759,153.2341567,155.2960861,158.4117685,163.4684575,168.8866644,174.1147899,178.6727081,181.3385364,183.0462946
1,178.5,2.16167779,169.3230548,0.046430122,153.7042563,155.7638123,158.8746672,163.9204738,169.3230548,174.5324388,179.0712394,181.7247376,183.4241646
1,179.5,2.185849904,169.7405351,0.046159004,154.1615288,156.2174196,159.3217901,164.3547479,169.7405351,174.9309165,179.4510272,182.0927156,183.7842466
1,180.5,2.205180153,170.139255,0.045889585,154.6055622,156.6565818,159.7529343,164.7712603,170.139255,175.310506,179.8124447,182.4428851,184.1269767
1,181.5,2.219728869,170.5194567,0.045622955,155.0360175,157.0810539,160.1679874,165.1700873,170.5194567,175.6715733,180.1559363,182.7757235,184.4528488
1,182.5,2.2295937,170.881464,0.045360101,155.452628,157.4906696,160.5669211,165.5513919,170.881464,176.0145556,180.4820061,183.09176,184.7624031
1,183.5,2.234907144,171.2256717,0.045101913,155.8551976,157.8853369,160.9497852,165.9154147,171.2256717,176.3399504,180.791206,183.3915648,185.0562159
1,184.5,2.235833767,171.5525345,0.044849174,156.243598,158.2650343,161.3167006,166.2624644,171.5525345,176.648304,181.0841263,183.6757386,185.3348893
